,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,106,44416135,20 Jan 2023, More Than One Way To Love by ALMartin1011 ,English,"1,636",1/1,266,"| Teen And Up Audiences| No Archive Warnings Apply| Gen, M/M, Multi| Complete Work|",|No Archive Warnings ApplySteve Harrington/Eddie Munson Eleven | Jane Hopper/Mike Wheeler Will Byers/Eleven | Jane Hopper/Mike WheelerSteve and El centric Slice of Life Good Babysitter Steve Harrington Steve being an A+ dad figure Eleven | Jane Hopper Needs a Hug figuring out ones sexuality discussion of different sexualities Fluff but not entirely fluff? it's sweet though|
1,106,44364043,20 Jan 2023," Sex, Whisky and D&D by Zuffen ",English,"67,601",13/?,12401,| Explicit| No Archive Warnings Apply| F/M| Work in Progress|,|No Archive Warnings ApplyEddie Munson/You Eddie Munson/Reader mentions of old relationship with BillyEddie Munson Dustin Henderson Mike Wheeler You Reader Billy Hargrove Gareth (Stranger Things) Jeff (Stranger Things)Oral Sex Rough Sex Vaginal Sex Drunk Sex Drinking D&D Eddie Munson Lives Top Eddie Munson Alternate Universe - No Upside Down (Stranger Things) Consensual Sex Face-Fucking Dirty Talk playful Light-Hearted Porn with Feelings Semi-Public Sex Adult Content Dom/sub Fluff Fluff and Smut Protected Sex safe sex Romance Banter Spicy Smut Aftercare Rough Kissing Rough Oral Sex public Mentions of drugs Public Sex Public Blow Jobs Multiple Orgasms Public Display of Affection Trauma Mentions of Death Developing Relationship Past Relationship(s) Falling In Love Masturbation Safe Sane and Consensual Condoms Eddie Munson is a Sweetheart Begging Confrontations Flirting Awkward Flirting Sexual Tension Heart-to-Heart Billy Hargrove Lives Jealousy Almost Kiss Supportive Eddie Munson Date Night Emotional Hurt/Comfort Making Out Making Love Tenderness Tender Sex Lovey-Dovey Chemistry No use of y/n|
2,106,40116624,20 Jan 2023, Every Me and Every You by nataliascomet ,English,"36,237",9/12,6697,| Mature| Choose Not To Use Archive Warnings| F/M| Work in Progress|,|Creator Chose Not To Use Archive WarningsChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie Munson Jason CarverAttempted Seduction Eating Disorders Alternate Universe - Canon Divergence Fix-It References to Drugs these two have given me srs brain rot attempt at a three dimensional jason he's still a demon tho teenage sneaking around I reserve the right for things to get sexy Eventual Smut angst angst angst slowish burn if you consider a month or so slow|
3,106,40281744,20 Jan 2023, Janus Bound by cerealkiller0 ,English,"32,917",14/?,2555,"| Mature| Choose Not To Use Archive Warnings| F/F, F/M, M/M| Work in Progress|","|Creator Chose Not To Use Archive WarningsDmitri Antonov/Jim ""Chief"" Hopper Maxine ""Max"" Mayfield/Lucas Sinclair Will Byers & The Party Eleven | Jane Hopper & Jim ""Chief"" HopperJoyce Byers Murray Bauman Steve Harrington Eddie Munson Robin Buckley Henry Creel | One | Vecna Shadow Monster | Mind Flayer Demo-Dogs (Stranger Things) Demo-Bats (Stranger Things) Dmitri Antonov Jim ""Chief"" Hopper Eleven | Jane Hopper Calvin Powell Erica Sinclair Jason CarverSoul Bond Alternate Universe - Soulmates Empathic links Government Experimentation Hawkins isn’t the only place with an evil lab Some characters won’t appear until later It’s a long way back to Hawkins Max lives!|"
4,106,41396241,20 Jan 2023, karmic retribution by miketozier (smallcuts) ,English,"16,259",1/1,1048,| Teen And Up Audiences| No Archive Warnings Apply| M/M| Complete Work|,"|No Archive Warnings ApplyWill Byers/Mike Wheeler Will Byers & The PartyWill Byers Mike Wheeler Eleven | Jane Hopper Lucas Sinclair Dustin Henderson Maxine ""Max"" Mayfield Gareth (Stranger Things) Eddie Munson last two appear brieflyAlternate Universe - Canon Divergence Eleven | Jane Hopper & Byers Family Stay in Hawkins School Dances Fluff and Angst Period-Typical Homophobia Pining Mutual Pining Between Seasons/Series 2-4 specifically Past Eleven | Jane Hopper/Mike Wheeler Minor Maxine ""Max"" Mayfield/Lucas Sinclair Running Away Protective Mike Wheeler Sad Will Byers Fights Hurt/Comfort the fights get resolved quickly dw|"
5,106,40774422,20 Jan 2023, Sex Paranoia by Demogorgeously ,English,"6,750",1/?,89,| Explicit| No Archive Warnings Apply| M/M| Work in Progress|,|No Archive Warnings ApplyJason Carver/Eddie MunsonJason Carver Eddie Munson Chrissy Cunninghamreligious trauma Clean Freak!Jason Spiritual Deconstruction Hurt/Comfort Self-Hatred Opposites Attract College Football Everyone Is Gay|
6,106,44416795,20 Jan 2023, A Chemical Reaction Called Love (Steve Harrington x Masc!Reader) by Lilpipsqueak ,English,"28,378",7/?,1187,| Mature| No Archive Warnings Apply| M/M| Work in Progress|,"|No Archive Warnings ApplySteve Harrington/Reader Steve Harrington/You Robin Buckley & Reader Nancy Wheeler & Reader Dustin Henderson & Reader Mike Wheeler & Reader Lucas Sinclair & Reader Will Byers & Reader Eleven & Reader Jonathan Byers & Reader Max Mayfield & Reader Eddie Munson & ReaderSteve Harrington Robin Buckley Scott Clarke Jonathan Byers Nancy Wheeler Will Byers Mike Wheeler Dustin Henderson Lucas Sinclair Eleven | Jane Hopper Maxine ""Max"" Mayfield Steve Harrington's Parents Eddie Munson ReaderBisexual Steve Harrington Steve Harrington is a Sweetheart Stranger Things 1 Stranger Things 2 Stranger Things 3 Stranger Things 4 Mr. Clarke is the reader's dad reader is friends with robin starts in season 1 Friends to Lovers smart boy dumb boy Good Babysitter Steve Harrington Season 1 Steve Harrington Reader is a good person there will be smut eventually Mostly fluff but there will be future angst He fell first but he fell harder Oblivious friends to lovers mlm Canon Queer Relationship Steve Harrington has a soft spot for the reader Cluesless Steve Harrington Protective Steve Harrington Steve Harrington Needs a Hug Steve Harrington Angst eventual angst Steve Harrington doesn't realise he likes men until season 3 Reader is the Og Babysitter|"
7,106,44414497,20 Jan 2023, The Bunny Outfit by Melly5 ,English,"4,868",1/1,1957,| Explicit| Choose Not To Use Archive Warnings| M/M| Complete Work|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Jonathan Byers Robin BuckleyOriginal Female Character(s) - Freeform Photo Shoots Anal Fingering Anal Sex Blow Jobs Established Relationship Dom/sub Dom Eddie Munson Sub Steve Harrington Bondage Handcuffs|
8,106,41705511,20 Jan 2023," Their Wedding Night by dodger_chan, Sharpbutsoft (BuckysButt) ",English,"2,644",2/2,475,| Teen And Up Audiences| Choose Not To Use Archive Warnings| Gen| Complete Work|,|Creator Chose Not To Use Archive WarningsRobin Buckley & Steve HarringtonRobin Buckley Steve HarringtonPlatonically Married Robin Buckley and Steve Harrington Weddings Wedding Night Alternate Universe - 1920s Lesbian Robin Buckley Queer Steve Harrington POV Robin Buckley POV Steve Harrington Internal Monologue so much internal monologing Implied/Referenced Sex|
9,106,44415925,20 Jan 2023, A Chemical Reaction Called Love (Steve Harrington x Fem!Reader) by Lilpipsqueak ,English,"28,192",7/?,1319,| Mature| No Archive Warnings Apply| F/M| Work in Progress|,"|No Archive Warnings ApplySteve Harrington/Reader Steve Harrington/You Robin Buckley & ReaderSteve Harrington Robin Buckley Scott Clarke Jonathan Byers Nancy Wheeler Will Byers Dustin Henderson Lucas Sinclair Jim ""Chief"" Hopper Maxine ""Max"" Mayfield Steve Harrington's Parents Eleven | Jane Hopper Mike Wheeler Eddie Munson ReaderSteve Harrington is a Sweetheart Stranger Things 1 Stranger Things 2 Stranger Things 3 Stranger Things 4 Mr. Clarke is the reader's dad reader is friends with robin starts in season 1 Friends to Lovers smart girl dumb boy Good Babysitter Steve Harrington Season 1 Steve Harrington Reader is a good person there will be smut eventually Mostly fluff but there will be future angst She fell first be he fell harder Oblivious friends to lovers|"
