,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
10,126,44352955,17 Jan 2023," Brown Eyes, I'll Hold You Near by Lichen_Not_Moss ",English,"132,624",60/60,15176,| Mature| No Archive Warnings Apply| Multi| Complete Work|,"|No Archive Warnings ApplySteve Harrington/Eddie Munson Robin Buckley/Vickie Eddie Munson & The Party Steve Harrington & The PartyEddie Munson Steve Harrington Wayne Munson Dustin Henderson Will Byers Eleven | Jane Hopper Lucas Sinclair Mike Wheeler Maxine ""Max"" Mayfield Joyce Byers Jim ""Chief"" Hopper Robin Buckley Nancy Wheeler Erica Sinclair Jonathan Byers Argyle (Stranger Things) Vickie (Stranger Things)Post-Stranger Things 4 Vol. 2 Gay Eddie Munson Bisexual Steve Harrington Alternate Universe - Everyone Lives/Nobody Dies Found Family Post-Traumatic Stress Disorder - PTSD Disabled Maxine ""Max"" Mayfield Slow Burn Fluff Hurt/Comfort Good Babysitter Steve Harrington Mutual Pining Eddie Munson Lives Eddie Munson Needs a Hug Platonic Soulmates Robin Buckley & Steve Harrington Steve Harrington Has a Crush on Eddie Munson Supportive Wayne Munson Supportive Joyce Byers Autistic Eddie Munson Autistic Robin Buckley Robin Buckley Has ADHD like those aren't features i just dont think i could convincingly write NT characters Mild Blood Period-Typical Homophobia Other Additional Tags to Be Added Smoking Recreational Drug Use Blow Jobs First Time Blow Jobs Body Worship Light Dom/sub Rocky Horror Picture Show References|"
11,126,44145612,17 Jan 2023, Fold. by Redskyatnight ,English,"3,853",1/1,324,"| General Audiences| No Archive Warnings Apply| F/M, Gen| Complete Work|","|No Archive Warnings ApplyJoyce Byers/Jim ""Chief"" Hopper Eleven | Jane Hopper & Jim ""Chief"" HopperEleven | Jane Hopper Joyce Byers Will Byers Jonathan Byers Jim ""Chief"" HopperPost-Traumatic Stress Disorder - PTSD Drama Family Drama Angst|"
12,126,42310494,17 Jan 2023, Pins And Needles by feelgood47 ,English,"53,147",16/20,6692,| General Audiences| Graphic Depictions Of Violence| M/M| Work in Progress|,"|Graphic Depictions Of ViolenceWill Byers/Mike Wheeler Maxine ""Max"" Mayfield/Lucas Sinclair Eleven | Jane Hopper/Maxine ""Max"" Mayfield Will Byers & Eleven | Jane Hopper Will Byers & Dustin Henderson & Lucas Sinclair & Mike Wheeler Eleven | Jane Hopper/Mike Wheeler Joyce Byers & Will Byers Eleven | Jane Hopper & Jim ""Chief"" Hopper Steve Harrington & Dustin Henderson Steve Harrington/Eddie Munson Robin Buckley & Steve Harrington Eleven | Jane Hopper/Maxine ""Max"" Mayfield/Lucas Sinclair Will Byers/Original Male Character(s)Will Byers Mike Wheeler Eleven | Jane Hopper Maxine ""Max"" Mayfield Lucas Sinclair Dustin Henderson Steve Harrington Eddie Munson Robin Buckley Joyce Byers Jim ""Chief"" HopperAlternate Universe - College/University Will Byers is a Mess Will Byers Deserves Love Will Byers & Eleven | Jane Hopper Are Twins Mike Wheeler Loves Will Byers Maxine ""Max"" Mayfield & Mike Wheeler Friendship Gay Mike Wheeler Eleven | Jane Hopper & Maxine ""Max"" Mayfield Friendship Good Significant Other Lucas Sinclair Will Byers & Lucas Sinclair Friendship Lucas Sinclair is a Sweetheart Will Byers Has PTSD Will Byers Has Issues Mike Wheeler Needs a Hug Mike Wheeler Being an Idiot Protective Mike Wheeler tattoo artist will byers Byers Family-centric (Stranger Things) byers family issues Will Byers Can't Catch a Break Alcohol Abuse/Alcoholism Marijuana will byers has interesting coping mechanisms mike wheeler fear of intimacy Gay Disaster Mike Wheeler Strangers to Lovers Angst byler No Beta Angst with a Happy Ending Child Abuse Lonnie Byers Being an Asshole Slow Burn First Kiss Making Out Original Character(s) Will Byers & Mike Wheeler Fight Fights Hurt/Comfort Period-Typical Homophobia mention of conversion therapy|"
13,126,42311652,17 Jan 2023," Oh baby, when they made me they broke the mold. by BetwixtAndBetweenn ",English,"11,547",2/2,6045,| Explicit| No Archive Warnings Apply| M/M| Complete Work|,|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Eddie MunsonBisexual Steve Harrington Gay Eddie Munson Pre-Season/Series 04 POV Steve Harrington POV Eddie Munson 5+1 Things Bottom Eddie Munson Eddie Munson Wears Eyeliner Porn with Feelings Porn With Plot Frottage First Time Topping Steve Harrington's First Time With a Man Eddie Munson Has Nipple Piercings Hand Jobs Praise Kink Spit Kink Other Additional Tags to Be Added|
14,126,42234471,17 Jan 2023, Eddie Munson Fluff and Smut Book 18+ by BackitupCumberbatch ,English,"2,064",2/?,163,| Explicit| Graphic Depictions Of Violence| F/M| Work in Progress|,|Graphic Depictions Of ViolenceEddie Munson/Original Female Character(s) Eddie Munson/Original Female Character of colorEddie Munson Original Female Character(s) of Color Original Female Character(s)Smut Fluff Fluff and Smut Blood and Violence Alternate Universe - Werewolf Alternate Universe - Ghostface Alternate Universe - Vampire Interracial Relationship Established Relationship stepcest Alternate Universe - Modern Setting Idiots in Love True Love Dorks in Love First Love Eddie Munson Imagines joseph quinn character MDNI 18+ book poc friendly woc PoC Female Character of Color interracial POV Multiple Alternate Universe Shameless Smut Domestic Fluff Plot What Plot/Porn Without Plot|
15,126,44351083,17 Jan 2023, Narnia Chatfic // Irlfic by shelbyshub ,English,425,2/?,60,| Not Rated| Choose Not To Use Archive Warnings| Other| Work in Progress|,"|Creator Chose Not To Use Archive WarningsSusan Pevensie/Original Female Character(s) Edmund Pevensie & Lucy Pevensie & Peter Pevensie & Susan Pevensie Peter Pevensie & Original Male Character(s) Caspian/Peter Pevensie Edmund Pevensie/Original Male Character(s) Jill Pole/Eustace Scrubb Susan Pevensie/Mike Wheeler Angela/Eleven | Jane Hopper/Maxine ""Max"" MayfieldCaspian (Narnia) Original Female Character(s) The Pevensies (Narnia) Aslan (Narnia) Tumnus (Narnia) Eustace Scrubb Jill Pole Puddleglum (Narnia) The Party (Stranger Things) Angela (Stranger Things)Alternate Universe - Modern Setting Protective Susan Protective Peter Pevensie Trans Peter Pevensie Awesome Susan Pevensie Peter Pevensie is a Little Shit Gay Edmund Pevensie Autistic Peter Pevensie Jealous Caspian Peter Pevensie Needs a Hug Good Sibling Peter Pevensie Gay Peter Pevensie Dyslexic Peter Pevensie Autistic Jill Pole Angela (Stranger Things) Is Nice|"
16,126,44352877,17 Jan 2023, Knight in Shining Armor by Are_you_ever_not_going_to_fall_for_that ,English,"1,909",1/1,707,| Teen And Up Audiences| No Archive Warnings Apply| M/M| Complete Work|,|No Archive Warnings ApplyWill Byers/Mike WheelerWill Byers Mike WheelerWill Byers Has Powers Hurt Mike Wheeler Post-Season/Series 04 Hurt/Comfort Protective Will Byers Gay Will Byers Period-Typical Homophobia Period Typical Attitudes|
17,126,44343535,17 Jan 2023," Rolled a 1 on the Check, Rolled a 20 on the Save by APuckish_Wit ",English,"91,802",25/?,21018,| Teen And Up Audiences| No Archive Warnings Apply| M/M| Work in Progress|,|No Archive Warnings ApplySteve Harrington/Eddie Munson Steve Harrington/Nancy Wheeler Steve Harrington & Dustin Henderson Robin Buckley/Vickie (background)Steve Harrington Eddie Munson Dustin Henderson Lucas Sinclair Will Byers Robin BuckleyAngst Angst with a Happy Ending Alternate Universe - Modern Setting Alternate Universe - No Upside Down (Stranger Things) Emotional Hurt/Comfort Alternate Universe - Different First Meeting Good Babysitter Steve Harrington Professional DM Eddie Munson Stranger Things Kinkmeme The Steve/Nancy is only in the first chapter Steve Harrington Needs a Hug Steve Harrington Has Bad Parents Brotherly Steve Harrington & Dustin Henderson Brotherly Steve Harrington & Lucas Sinclair Slow Burn This is turning into more of a Steve/Happiness fic but I love that for it|
18,126,44343544,17 Jan 2023," Steve ""The Manager"" Harrington by Dragonkepper333 ",English,"24,180",20/20,17201,| Not Rated| No Archive Warnings Apply| M/M| Complete Work|,"|No Archive Warnings ApplySteve Harrington/Eddie MunsonEddie Munson Steve Harrington Maxine ""Max"" Mayfield Lucas Sinclair Dustin Henderson Eleven | Jane Hopper Gareth (Stranger Things) Jeff (Stranger Things) Jonathan Byers Nancy Wheeler Robin Buckley Mike Wheeler Will ByersBrotherly Steve Harrington & Dustin Henderson Dustin Henderson is the Best Steve Harrington Has a Crush on Eddie Munson Eddie Munson Has a Crush on Steve Harrington Brotherly Dustin Henderson & Eddie Munson How Do I Tag Soccer Mom Steve Harrington Bisexual Steve Harrington Gay Eddie Munson Steve is musically competant Steve Harrington is an angry crier No beta we die like Chrissy (only sometimes) Corroded Coffin doesn't believe Steve knows how music works I can't handle vecna existing in this AU The monsters ended at starcourt Past Billy Hargrove/Steve Harrington Steve Harrington Has Bad Parents Wayne Munson is a Sweetheart|"
19,126,41070075,17 Jan 2023," Well, My Boyfriend's In A Band by daynight ",English,"38,333",6/?,4298,"| Explicit| No Archive Warnings Apply| Gen, M/M| Work in Progress|",|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Robin Buckley Dustin Henderson Eddie Munson Corroded Coffin (Stranger Things)Oblivious Steve Harrington Like...extremely 10 second sexuality crisis Less of a crisis More of a 'fair enough' Alternate Universe - Modern Setting Alternate Universe - College/University Alternate Universe - Rock Band Robin Buckley & Steve Harrington Are Best Friends Bisexual Steve Harrington Accidental Wattpad Fanfic Plagiarism... Eddie Munson Has a Crush on Steve Harrington Oral Sex Bottom Eddie Munson|
